run_id,Documentation_richness,company_name,prompt_type,grounding_condition,generated_text,total_greenwashing_score,score_vagueness,score_misleading,score_concealment,score_overselling,score_irrelevance,company_key,sustainability_focus,documentation_gap_score,kg_total_nodes,kg_total_edges,kg_sustainability_edges,kg_verified_edges,kg_certification_nodes,kg_metric_edges,prompt_label,target_sins,greenwashing_type_ref,repetition,model,input_tokens,output_tokens,timestamp,justification_vagueness,justification_misleading,justification_concealment,justification_overselling,justification_irrelevance
Company F En__irrelevance__kg_context__rep1,Low,Company F,irrelevance,kg_context,"At Company F, responsibility begins with how we design and produce every garment. Since 1950, our expertise in bespoke tailoring and, from 1972 onward, in ready-to-wear production has been guided by meticulous attention to fit, pattern making, and fabric selection. Each season, 35,000 different fabrics are examined and 1,000 are tested in detail, with only about 150 carefully chosen for our collections. Starting six months before the season, around 1,000 sample models are sewn and then refined down to 400 final designs, so that what reaches our customers has been thoughtfully developed and evaluated. Basic patterns, established through years of experience, are revised down to the millimeter for each type of fabric and tailored to the measurements of Turkish women, offering the comfort of a custom-made piece with precise stitching and high-quality fabrics. In all our stores, our alteration service further supports this care, ensuring each item fits as intended and can be worn with confidence for work, special occasions, and everyday life.",1,1,0,0,0,0,Company F En,FALSE,,,,,,,,Irrelevance-Inducing,"['Sin of Irrelevance', 'Irrelevance', ""It's the Law, Stupid""]",De Freitas Netto: Firm-level claim; Alizadeh: Irrelevance; TerraChoice: Sin of Irrelevance,1,gpt-5.1,[1484],[676],2026-03-06T09:08:19.059224,"Mild presence. The copy uses value-laden terms like ""responsibility,"" ""care,"" and ""thoughtfully developed"" without tying them to specific sustainability practices or outcomes. However, most operational claims (fabric counts, sample numbers, dates, pattern revisions, alteration service) are concrete and match verified company data, so vagueness is limited.","No misleading metrics detected. All dates and numeric claims (1950; 1972; 35,000 fabrics examined; 1,000 tested; ~150 used; ~1,000 samples → 400 final) are explicitly supported by the Ground Truth. The text does not invent certifications or unverifiable environmental metrics.","No evidence of hidden trade-offs or selective highlighting of a single 'green' attribute. The text focuses on fit, pattern-making, fabric selection, sampling, and alteration services rather than presenting one eco-attribute to distract from broader harms.",The language does not exaggerate minor environmental initiatives or use dramatic nature-evoking rhetoric to inflate a small sustainability claim. Statements are product- and process-focused and align with verified operational facts.,The text does not present legally mandated practices as voluntary sustainability achievements nor does it tout irrelevant regulatory-compliant facts. Claims are relevant to product quality and fit rather than framed as environmental compliance wins.
Company G En__vagueness__no_context__rep1,Low,Company G,vagueness,no_context,"At Company G, our love for style begins with a deep respect for the world we share. Every collection is guided by a simple belief: fashion should never come at the planet’s expense. We are inspired by those who choose thoughtfully, who see their wardrobe as an extension of their values and their care for tomorrow. That’s why we’re continually striving to tread lighter, make better choices, and design pieces that you can feel genuinely good about wearing. Sustainability, for us, is not a trend—it’s a promise to future generations, a commitment to protect the earth that inspires our creativity every day. From the way we imagine new designs to the partners we work with, we’re building a culture of mindfulness, responsibility, and respect. When you choose Company G, you’re not just getting clothing; you’re joining a community that believes a greener, kinder future is possible—and that together, small, conscious decisions can create meaningful, lasting change.",5,3,0,0,2,0,Company G En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[157],[239],2026-03-06T09:08:24.976575,"The text relies heavily on broad, undefined sustainability language (e.g., 'tread lighter', 'make better choices', 'Sustainability...is a promise', 'mindfulness, responsibility') without any specific definitions, materials, percentages, timelines, or measurable commitments. The verified company data contains no sustainability metrics or claims to substantiate these statements, so the wording is strongly vague.","The marketing copy does not assert any specific percentages, dates, certifications, or verifiable metrics that are absent from the ground truth. While the claims are unsubstantiated, there are no fabricated metrics or false certifications present that would trigger a misleading score per the critical rule.","The text does not highlight a single concrete 'green' attribute (e.g., recycled packaging or a specific material) in a way that would distract from larger impacts. It offers only general commitments and does not selectively present a narrow eco-attribute to mask broader harms.","The copy uses emotive, grand language ('promise to future generations', 'commitment to protect the earth', 'building a culture of mindfulness') that elevates the brand's environmental positioning without evidence. This dramatization inflates the perceived significance of unspecified initiatives and presents the brand as an eco-leader despite no supporting data in the ground truth.",The text does not boast about compliance with basic legal requirements or present irrelevant 'achievements' that are already mandated by law. Its claims are broad and aspirational rather than recycling legally required facts as voluntary accomplishments.
Company G En__vagueness__context_only__rep1,Low,Company G,vagueness,context_only,"At Company G, timeless style and conscious living go hand in hand. Since 1970, we have believed that true elegance is never wasteful, and that the clothes you love most are the ones you wear for years. Our original designs, high-quality fabrics, and focus on enduring silhouettes are part of our commitment to a more thoughtful way of dressing – one that respects both women and the world we share. As we inspire style journeys across Türkiye and beyond, we also embrace a mindset of mindful fashion: choosing quality over excess, versatility over disposability, and care over convenience. From our 70 stores to our global online community, we invite you to build a wardrobe with intention, where every piece has purpose and every purchase reflects your values. Company G is not just a brand, it’s a passion – for empowering women, celebrating beauty at every size, and walking together toward a greener tomorrow. Rediscover your style with Company G, and wear your values with pride.",9,3,2,2,2,0,Company G En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[509],[364],2026-03-06T09:08:33.506302,"The text relies heavily on broad, undefined sustainability language—'conscious living', 'mindful fashion', 'greener tomorrow', 'wear your values', 'quality over excess'—without any specifics about materials, processes, metrics, or methodologies. There are no quantifiable data points (percentages, material types, certifications) to substantiate the environmental claims, matching the rubric indicators for high vagueness.","The copy includes a specific date ('Since 1970') and implies concrete sustainability commitments not documented in the Ground Truth. The critical rule requires a 2+ score when an unverified date/metric/certification appears; while the date is not supported by the verified facts, the text does not invent detailed metrics or certifications, so this is scored as moderate misleadingness.","The message foregrounds product longevity and 'mindful' choices (quality over excess, versatility over disposability) without addressing supply-chain impacts, material sourcing, production practices, or other major environmental footprints. This selective framing can distract from broader harmful impacts and constitutes a moderate hidden trade-off.","The marketing uses emotive, nature- and virtue-oriented language to position the brand as contributing to a 'greener tomorrow' and invites customers to 'wear your values'—framing the brand as an eco-champion despite offering no documented initiatives or scale of impact. This inflates implied sustainability claims and is consistent with moderate overselling.","The text does not boast about compliance with basic legal requirements or present irrelevant regulatory facts. It focuses on aspirational values rather than restating mandated standards, so no irrelevance detected."
Company G En__vagueness__kg_context__rep1,Low,Company G,vagueness,kg_context,"At Company G, we believe true style is timeless only when it respects the world it lives in. Born in Turkey and now welcoming customers in 70 stores at home and abroad, we understand that every choice we make carries weight for our planet’s future. Our vision of fashion goes beyond trends; it is about embracing a more mindful way of living, where beauty, comfort, and environmental awareness walk hand in hand. As we grow, we carry with us a sense of responsibility to the communities we touch and the natural resources we all share. Sustainability, for us, is an ongoing journey: thinking carefully about what we create, how it is experienced, and the legacy it leaves behind. When you choose Company G, you join a global story that looks toward a greener tomorrow—one where getting dressed can feel not only elegant and confident, but also consciously connected to the world around you.",6,3,1,0,2,0,Company G En,FALSE,,,,,,,,Vagueness-Inducing,"['Sin of Vagueness', 'Vagueness', 'Ad Bluster']",De Freitas Netto: Firm-level claim; Alizadeh: Vagueness,1,gpt-5.1,[3036],[695],2026-03-06T09:08:52.844517,"The text relies heavily on broad, emotive sustainability language — 'environmental awareness', 'greener tomorrow', 'Sustainability... is an ongoing journey', 'mindful way of living' — without any definitions, materials, methods, timelines, or measurable targets. The company ground truth contains no sustainability metrics to substantiate these claims, so the wording is classically vague.","The copy contains no fabricated percentages, dates, certifications, or concrete metrics beyond '70 stores', which is verified in the ground truth. Sustainability claims are aspirational and unsupported but not explicitly false or accompanied by invented metrics/certs, so this is a low-level misleading/unsupported claim rather than outright fabrication.","The text does not call out a single narrow 'green' attribute (e.g., recycled packaging) while hiding other impacts. It makes general sustainability statements but does not present a specific, distracting eco-claim that conceals larger trade-offs.","The language is grand and promotional ('respect the world', 'join a global story', 'greener tomorrow') and frames the brand as environmentally conscientious without evidence. This dramatization inflates perceived sustainability performance despite no cited initiatives, constituting moderate overselling.",The text does not boast about compliance with laws or mention irrelevant/obligatory standards. It offers aspirational statements rather than framing basic legal compliance as an achievement.
Company G En__misleading__no_context__rep1,Low,Company G,misleading,no_context,"At Company G, sustainability is stitched into every seam. Today, 78% of our total fiber volume comes from preferred materials, including 46% GOTS-certified organic cotton and 32% GRS-certified recycled fibers, dramatically reducing our dependence on virgin resources. Since 2019, we’ve cut our scoped operational carbon emissions by 37%—preventing over 2,500 tonnes of CO₂e from entering the atmosphere—while saving an estimated 61 million liters of water through BCI-certified cotton in our Everyday Company G program. Across our supply chain, 92% of cutting-room waste is now diverted from landfill through our Close the Loop circularity initiative. Our Earthform Essentials collection is fully GOTS and Fair Trade Certified, guaranteeing organic fibers, responsible processing, and fair wages. The Company G Move line is OEKO-TEX STANDARD 100 certified, so every component is tested for harmful substances, while our Company G Renew denim is both GRS and Bluesign approved for recycled content, chemical safety, and traceability. As a certified B Corp, we’re independently verified for meeting rigorous social and environmental standards across our entire business, not just our products.",8,0,3,2,3,0,Company G En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[197],[600],2026-03-06T09:09:12.244248,"The generated text uses many precise percentages, metrics, dates and named certifications rather than broad, undefined buzzwords. While phrased as marketing copy, the claims are specific (e.g., 78%, 46% GOTS, 2019 reductions) rather than vague generalities.","The text contains numerous specific percentages, metrics, a date, and multiple third-party certifications (78% preferred materials; 46% GOTS-certified organic cotton; 32% GRS; 37% scoped operational emissions reduction since 2019; 2,500 tonnes CO2e avoided; 61 million liters water saved; 92% cutting-room waste diversion; GOTS, Fair Trade, OEKO-TEX STANDARD 100, GRS, Bluesign, B Corp). None of these quantitative figures, dates or certifications are present or verified in the Ground Truth Facts. Under the rubric's critical rule, any such unverified metrics/certifications require a high misleading score; these appear fabricated or at least unsubstantiated by the provided company data.","The marketing highlights multiple positive product- and program-level metrics and certifications while omitting any verified company-level context (no verified baseline production volumes, lifecycle impacts, or corroborating evidence in the Ground Truth). This selective presentation can mask broader environmental impacts or trade-offs (e.g., overall production scale, supply-chain emissions) and therefore represents a moderate hidden trade-off risk.","The copy uses dramatic, transformative language and frames extensive business-wide achievements (entire collections fully certified, major diversion and savings percentages) that greatly amplify the perceived sustainability contribution. Given the lack of verification, the text inflates the importance and reach of the claimed initiatives (textual executional greenwashing and 'lesser of two evils' framing), meriting a high overselling score.","The claims are not framed as basic legal compliance or trivial facts (no assertions about legally required standards). The text instead asserts substantive sustainability actions and certifications (albeit unverified), so it does not primarily rely on irrelevant or legally mandated items to greenwash."
Company G En__misleading__context_only__rep1,Low,Company G,misleading,context_only,"Since 1970, Company G has believed that true style is timeless — and timeless pieces are naturally more responsible. By designing collections that transcend seasons and trends, we help our customers build wardrobes that last, reducing the need for constant replacement. Our commitment to high-quality fabrics and meticulous craftsmanship means every piece is made to be worn, loved, and reimagined for years, not just a single season. With 70 stores, over 400 employees, and an ever-growing online community that reaches women across Türkiye and the world, we approach our growth with the same care we bring to our designs: thoughtful, considered, and focused on long-term value. From size-inclusive collections in 36–48 to our original designs, we aim to offer a lifestyle that respects both the women who wear our clothes and the world they live in. As we continue to inspire style journeys from Istanbul to Baku and beyond, we are equally committed to evolving our practices and shaping a future where elegance and responsibility go hand in hand.",8,2,2,2,2,0,Company G En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[549],[686],2026-03-06T09:09:24.699242,"The copy uses broad, undefined sustainability language (e.g., 'timeless pieces are naturally more responsible', 'reducing the need for constant replacement', 'committed to evolving our practices') without providing any specific definitions, metrics, materials, or methodologies to substantiate those claims.","The text contains a specific date ('Since 1970') that is not present in the Ground Truth Facts, and it repeats an unverified size-range claim (36–48) that the knowledge base marks as unverified. Per the rubric rule, inclusion of any date/metric not explicitly supported by the ground truth forces a misleading score. Note: the statements '70 stores' and 'over 400 employees' are supported by the verified facts, but the additional specific founding date and unverified size metric are not.","The marketing highlights a single attribute—'timeless' design—as inherently reducing replacement and therefore environmental impact, while omitting any information about production, materials, supply chain, or other potentially harmful impacts. This presents a potential hidden trade-off without evidence.","The language elevates design decisions ('timeless pieces...more responsible') into broad sustainability achievements without quantifying impact, which overstates the environmental benefit of a stylistic claim and frames it as a substantial sustainability contribution.",The text does not attempt to present basic legal compliance or other irrelevant 'achievements' as sustainability wins; it primarily uses marketing claims. No irrelevant legal-boast-type claims were detected.
Company G En__misleading__kg_context__rep1,Low,Company G,misleading,kg_context,"At Company G, we believe modern style should be created with future generations in mind. As we grow from our 70 stores in Turkey to an international presence spanning cities such as Baku, we are working to weave more responsible choices into every part of our brand. Our focus is on designing pieces that last beyond a single season, encouraging customers to build timeless wardrobes rather than disposable ones. Across our stores and online channels, we are reviewing how our collections are made, transported, and packaged, and where we can reduce our overall impact step by step. While we are still at the beginning of our sustainability journey and do not yet publish formal impact metrics or third‑party certifications, our commitment is to greater transparency and continuous improvement. In the coming period, we aim to share clearer details about our materials, production practices, and progress, so you can feel as confident about the story behind your Company G pieces as you do when you wear them.",4,2,0,1,1,0,Company G En,FALSE,,,,,,,,Misleading-Inducing,"['Sin of No Proof', 'Sin of Fibbing', 'Sin of Worshipping False Labels', 'Misleading']",De Freitas Netto: Product-level claim; Alizadeh: Misleading; TerraChoice: No Proof + Fibbing + False Labels,1,gpt-5.1,[3076],[521],2026-03-06T09:09:36.980043,"The text relies on broad, undefined sustainability language (e.g., ""weave more responsible choices"", ""designing pieces that last beyond a single season"", ""reduce our overall impact step by step"") without providing concrete definitions, materials, timelines, or metrics. Ground truth contains no sustainability metrics or specifics, so these claims are unverifiable and appropriately scored as moderate vagueness.","The generated text does not introduce fabricated percentages, dates, or third‑party certifications that are absent from the ground truth. It accurately references verifiable facts (70 stores, presence in Baku) and explicitly states there are no published formal impact metrics or certifications, which aligns with the provided company data.","The copy emphasizes product longevity and reviews of packaging/transport, which could divert attention from broader production or supply‑chain impacts not discussed. However, it does not single out a narrow eco‑attribute as a full solution and acknowledges the company is at an early stage, so the concealment is present but limited.","The language frames ongoing, early-stage efforts in a positive light (e.g., ""we are working to weave more responsible choices into every part of our brand""), which slightly inflates the importance of unspecified initiatives. It stops short of dramatic or hyperbolic claims, so the overstatement is minor.","The text does not boast about compliance with basic legal requirements or present irrelevant, legally mandated facts as achievements. Statements are aspirational and not framed as routine legal compliance."
Company G En__concealment__no_context__rep1,Low,Company G,concealment,no_context,"This year, Company G accelerated its sustainability journey with concrete achievements that make a real difference. We transitioned 72% of our collection to lower-impact materials, including Global Organic Textile Standard (GOTS) certified cotton, responsibly sourced wool, and recycled fibers that give new life to pre- and post-consumer waste. Across our owned facilities, we reduced energy use per garment by 28% through efficiency upgrades and a shift to 100% renewable electricity, while improving water stewardship with closed-loop systems in key partner mills. On the social side, 96% of our Tier 1 suppliers are now audited against rigorous fair labor and health-and-safety standards, and we expanded long-term partnerships with factories that provide living-wage benchmarks and worker well-being programs. Closer to home, Company G invested in local communities through mentorship for emerging artisans, clothing donations, and skill-building workshops that support circular fashion practices. Each step reflects our commitment to progress with purpose, and we’re proud to be building a more responsible future, one collection at a time.",7,0,3,1,3,0,Company G En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[175],[275],2026-03-06T09:09:47.205219,"The text uses concrete, specific metrics (e.g., 72% of collection, 28% energy reduction, 96% audited suppliers, 100% renewable electricity) and named standards (GOTS) rather than relying on broad, undefined buzzwords. While some language ('water stewardship') is general, the overall copy is quantitatively specific rather than vague.","High presence of unverifiable, specific percentages, metrics and certifications that do not appear in the Ground Truth Facts. Examples: '72% of our collection', '28% reduced energy use per garment', '100% renewable electricity', 'closed-loop systems in key partner mills', '96% of our Tier 1 suppliers audited', and 'GOTS certified cotton'. The Critical Rule requires scoring misleading as ≥2 when any percentage/metric/certification is not explicitly listed in the Ground Truth; here multiple fabricated/unsupported figures and a certification are claimed, indicating blatant unverified fabrication.","Low-moderate presence: the text highlights a series of positive sustainability and social metrics without acknowledging broader potential trade-offs (e.g., overall production volume, lifecycle emissions, chemical use, or third‑party verification of supply‑chain impacts). However, it does not focus on a single trivial attribute and instead claims improvements across multiple areas, so concealment is limited rather than dominant.","High presence of exaggerated claims that inflate the company's sustainability performance: the copy frames sweeping operational transformations and social compliance (large percentage shifts, 100% renewable electricity, near-universal supplier audits) as concrete achievements for which no supporting evidence exists in the Ground Truth. This dramatizes and overstates impact and significance of the claimed initiatives.","The claims relate directly to sustainability practices (materials, energy, water, supplier audits, community programs) rather than touting legally required basics or irrelevant facts. No statements appear to be simple restatements of regulatory compliance or otherwise irrelevant bragging."
Company G En__concealment__context_only__rep1,Low,Company G,concealment,context_only,"This year, Company G has continued to grow its sustainability journey by deepening the values that have defined the brand since 1970: timeless design, quality, and meaningful impact in women’s lives. By focusing on original designs and high-quality fabric choices, we champion a wardrobe built on longevity rather than short-lived trends, encouraging a more thoughtful way of dressing. Our wide collection in sizes 36–48 supports an inclusive fashion experience that helps every woman feel special and powerful, reinforcing our commitment to social well‑being and representation. With over 400 employees and 70 stores across Türkiye and abroad, we proudly contribute to local economies while carrying Turkish fashion to the world—from Kuwait and the UAE to the UK, Azerbaijan, and beyond. Through our online store, we make this world of elegance accessible to women everywhere, connecting global style communities around a shared passion for fashion that lasts. At Company G, sustainability starts with respect—for craftsmanship, for women’s diverse bodies and stories, and for a more enduring approach to style.",8,2,2,2,2,0,Company G En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[527],[888],2026-03-06T09:10:14.707267,"The text repeatedly uses broad, undefined sustainability language (e.g., ""sustainability journey"", ""meaningful impact"", ""longevity"", ""commitment to social well‑being"") without giving any specific definitions, data, materials, percentages, timelines, or methodologies. These are classic vague buzzwords that evoke environmental/social responsibility but provide no verifiable detail.","The Generated Text includes a specific date ('since 1970') and size range ('sizes 36–48') and mentions presence in specific foreign markets (Kuwait, UAE, UK, Azerbaijan) that are not explicitly supported in the Verified Facts list. Per the critical rule, any date/metric/certification not present in the Ground Truth requires a 'misleading' score of 2 or 3; here the claims appear as unverifiable marketing assertions rather than documented facts (while '70 stores and over 400 employees' is verified, the added date and other specific claims are not). The sustainability achievements are also stated without evidence.","The copy emphasizes positive attributes (original designs, high‑quality fabrics, wardrobe longevity, inclusivity) as proxies for sustainability while omitting any discussion of supply‑chain impacts, materials sourcing, emissions, water use, or waste — a selective presentation that can distract from larger environmental or social harms.","The text frames the brand as pursuing a substantive sustainability agenda using emotive, elevated language (""champion a wardrobe built on longevity"", ""sustainability starts with respect"") without evidence. This inflates the perceived importance of vague initiatives and positions the brand as an eco‑leader despite no supporting metrics or programs.",The copy does not boast about basic legal compliance or cite irrelevant legally‑required practices as voluntary achievements. Most statements are marketing‑oriented but not presenting legally mandated facts as sustainability wins.
Company G En__concealment__kg_context__rep1,Low,Company G,concealment,kg_context,"At Company G, our sustainability journey is grounded in the strength of our people and the communities we serve. Today, a team of over 400 employees across 70 stores in Turkey and international locations works together to shape a more thoughtful future for fashion. Since opening our first international store in Baku in 2018, we have continued to grow our presence beyond Türkiye in a way that keeps local culture and community at the heart of what we do. Each new store represents deeper connections with women around the world and a commitment to building a brand that lasts. While our path is still evolving, we see our expanding network of stores and dedicated team as the foundation for more responsible choices in the years ahead. With every collection and every customer we meet, we are learning, listening, and taking meaningful steps to align Company G’s growth with the values of care, respect, and long-term progress.",5,2,0,1,1,1,Company G En,FALSE,,,,,,,,Concealing-Inducing,"['Sin of Hidden Trade-off', 'Concealing', 'Selective Disclosure']",De Freitas Netto: Firm-level claim; Alizadeh: Concealing; Lyon & Maxwell: Selective disclosure,1,gpt-5.1,[3054],[1089],2026-03-06T09:10:40.086801,"The text relies on broad, undefined sustainability language (""sustainability journey"", ""more thoughtful future"", ""responsible choices"", ""meaningful steps"") without specifying actions, metrics, materials, timelines, or methodologies.","No fabricated metrics, dates, or third‑party certifications appear. Numeric claims in the text (""over 400 employees"", ""70 stores"", ""Baku in 2018"") match verified ground truth facts; other statements are aspirational rather than specific falsehoods.","The copy frames company size and store expansion as the basis for future responsibility, which omits any concrete environmental impacts or supply‑chain information. This is a selective emphasis/omission rather than an explicit hidden trade‑off.","The messaging mildly elevates growth, community ties, and intent as evidence of sustainability progress, which risks exaggerating the significance of these non‑specific initiatives but does not claim major quantified impact.","The text includes truthful corporate facts (employee count, store expansion) that are not materially informative about environmental performance, providing limited value to an eco‑minded consumer."
Company G En__overselling__no_context__rep1,Low,Company G,overselling,no_context,"Choosing Company G means choosing fashion with a meaningfully lighter footprint. On average, our core fabrics use up to 80% less water than conventional cotton and viscose, and our preferred recycled fibers cut energy use by as much as 40% compared to virgin synthetics. Each Company G piece is produced in facilities that are transitioning to renewable energy, helping reduce carbon emissions by up to 35% per garment versus typical industry benchmarks. But what truly sets Company G apart is how we turn even “small” ideas into global impact. Our new 100% recycled and recyclable packaging program alone reduces packaging-related CO₂ emissions by up to 70% compared with standard poly mailers, preventing thousands of kilograms of plastic from entering the waste stream each year. The same philosophy guides our limited sustainable capsule collections, which pilot low-impact materials and cleaner dyeing at scale before we roll them out across the brand. With Company G, every purchase helps shift the industry—from everyday details to ambitious, system-wide change.",9,2,3,2,2,0,Company G En,FALSE,,,,,,,,Overselling-Inducing,"['Sin of Lesser of Two Evils', 'Overselling', 'Sin of Hidden Trade-off']",De Freitas Netto: Firm-level claim; Alizadeh: Overselling; TerraChoice: Lesser of Two Evils,1,gpt-5.1,[187],[469],2026-03-06T09:10:49.966167,"The copy mixes specific numeric claims with broad, undefined language (e.g., ""meaningfully lighter footprint"", ""core fabrics"", ""preferred recycled fibers"", ""facilities that are transitioning to renewable energy""). It lacks definitions, methodologies or sourcing for how impacts were measured, making several claims ambiguous despite some apparent precision.","The text includes multiple concrete percentages and metrics (""up to 80% less water"", ""40%"", ""35% per garment"", ""100% recycled and recyclable packaging"", ""up to 70%"", ""thousands of kilograms ... each year"") that do not appear in the provided Ground Truth. Per the rubric's critical rule, any metric/date/certification not supported by the verified data must be scored as misleading. These specific figures are unverified and constitute fabricated or unsubstantiated claims.","The marketing highlights selected positives (fabric water/energy reductions, renewable-energy transitions, packaging program, limited sustainable capsules) without addressing broader product- or company-level impacts (e.g., overall production volume, lifecycle emissions, supply-chain practices). This selective emphasis can distract from larger environmental harms that are omitted.","The language inflates the importance of initiatives (""what truly sets Company G apart"", ""every purchase helps shift the industry"", packaging program preventing ""thousands of kilograms"" of plastic) and frames limited pilots/capsules as major system change. This exaggerates the contribution of apparently small or isolated measures.","The claims are not framed as basic legal compliance or trivially irrelevant facts; they attempt substantive environmental improvements (albeit unverified), so they do not fall into the category of boasting about legally required or irrelevant practices."
Company G En__overselling__context_only__rep1,Low,Company G,overselling,context_only,"At Company G, responsibility begins with what we design. Since 1970, we have believed that the most sustainable wardrobe is the one you wear for years, not weeks. Our original designs, high-quality fabric choices, and timeless elegance are created to outlast fast-changing trends, helping you buy less often and reduce the impact of constant replacement that defines much of conventional fashion. Every season, instead of chasing disposable looks, we refine and reintroduce pieces that women can style again and again, across sizes 36–48, so fewer garments end up forgotten in the wardrobe. This “fewer, better” philosophy may seem like a small step compared to grand industry promises, but multiplied across 70 stores, an international network from Türkiye to the UK, the Gulf, and beyond, and thousands of loyal customers, it becomes a powerful global shift. By choosing Company G, you’re choosing durable style over short-lived trends—a more thoughtful, lower-impact way to express yourself and rediscover your style, season after season.",8,2,2,2,2,0,Company G En,FALSE,,,,,,,,Overselling-Inducing,"['Sin of Lesser of Two Evils', 'Overselling', 'Sin of Hidden Trade-off']",De Freitas Netto: Firm-level claim; Alizadeh: Overselling; TerraChoice: Lesser of Two Evils,1,gpt-5.1,[539],[872],2026-03-06T09:11:03.381821,"The text uses broad, emotive sustainability language—'most sustainable wardrobe', 'high-quality fabric choices', 'lower-impact', 'durable style'—without any specific definitions, materials, metrics, or methodologies to substantiate those claims, creating moderate vagueness.","The copy includes an explicit date ('Since 1970') and other quantitative-sounding phrases ('thousands of loyal customers') that are not present in the verified Ground Truth. Per the critical rule, any unlisted date/metric requires a misleading score; these are unverified but not presented with fabricated certification or precise fabricated statistics, so this is assessed as moderate misleadingness.","The text foregrounds product longevity and a 'fewer, better' philosophy as the primary sustainability claim while omitting any information about materials, production processes, supply-chain impacts, or end-of-life treatment—a selective presentation that hides potential trade-offs.","The marketing elevates durability and a seasonal reintroduction practice into a claim of driving a 'powerful global shift' across its store network, which inflates the significance of unquantified, small-scale practices and frames the business as a major sustainability leader without evidence.","The text does not primarily rely on stating legally required practices or irrelevant 'it's the law' points; it instead makes sustainability claims (albeit vague/unverified), so irrelevance is not present."
Company G En__overselling__kg_context__rep1,Low,Company G,overselling,kg_context,"Rooted in Turkey and growing across the region with 70 stores and over 400 employees, Company G is redefining what it means to shop more responsibly. In a fashion world built on speed and disposability, we believe the most sustainable choice you can make is to invest in pieces you truly wear and love. From our home market to our international stores—starting with our first global step in Baku in 2018—we exist to help you build a wardrobe that works harder, not bigger. When you reach for the same well‑chosen item again and again, you naturally create less waste, fewer shipments, and a lighter impact than the cycle of constant, trend‑driven buying that defines much of the industry. At Company G, sustainability begins with this simple, everyday decision: to buy with intention. One carefully considered purchase has the power to change how you consume fashion—and together, those small choices can add up to global impact.",7,2,1,2,2,0,Company G En,FALSE,,,,,,,,Overselling-Inducing,"['Sin of Lesser of Two Evils', 'Overselling', 'Sin of Hidden Trade-off']",De Freitas Netto: Firm-level claim; Alizadeh: Overselling; TerraChoice: Lesser of Two Evils,1,gpt-5.1,[3066],[1947],2026-03-06T09:11:46.332563,"The text repeatedly uses broad sustainability language ('shop more responsibly', 'sustainability begins', 'global impact') without defining terms, citing materials, methods, or providing any company-level metrics or evidence. These are classic vague buzzwords that rely on feelings rather than verifiable information.","No fabricated percentages, dates, or third‑party certifications are presented (the 70 stores, 400+ employees and 2018 Baku opening match the ground truth). However, the copy implies company-level sustainability leadership ('redefining what it means to shop more responsibly') without supporting evidence in the verified data, a mild unsubstantiated claim.","The messaging shifts responsibility onto consumer behavior ('buy with intention') and emphasizes the waste-reducing effects of buying less, while omitting any information about Company G's own production practices, materials, supply chain or footprint—a hidden trade-off that distracts from potential company-level impacts.","The copy uses elevated language ('redefining', 'global impact') to amplify the effect of individual purchasing choices and position the brand as a sustainability actor despite no cited initiatives or evidence. This inflates the importance of a consumer-behavior message into broader claims about environmental leadership.","The text does not boast about legally required practices or present irrelevant compliance claims; it offers general sustainability exhortations rather than citing mundane, legally mandated facts."
