run_id,company_name,grounding_condition,prompt_type,total_greenwashing_score,score_vagueness,score_misleading,score_concealment,score_overselling,score_irrelevance,sustainability_focus,generated_text,justification_vagueness,justification_misleading,justification_concealment,justification_overselling,justification_irrelevance
Hm__misleading__kg_context__rep1,Company H,kg_context,misleading,3,1,0,1,1,0,True,"At Company H, we’re working to make great style part of a more sustainable everyday. We’ve set a net‑zero value chain target for 2040 and a climate goal to halve our absolute greenhouse gas emissions by 2030, while aiming to use only recycled or other sustainably sourced materials by 2030. Through our global Garment Collecting initiative – the first of its kind in fashion retail – customers handed in 29,005 tonnes of old textiles to our stores in 2019 for reuse and recycling, against a target to collect 25,000 tonnes of textiles per year by 2020. Building on this, our Looper joint venture with Remondis focuses on collecting, sorting and selling used and unwanted garments and textiles, helping keep materials in use longer. Our sustainability work is also guided by strong external frameworks: all brands follow advertising guidelines from the Unstereotype Alliance, convened by UN Women, and our Human Rights policy is aligned with the UN Guiding Principles on Business and Human Rights. Through the Company H Foundation’s Global Change Award, we further support early‑stage ideas that can transform the future of fashion.","The copy opens with broad, feel-good language ('more sustainable everyday') but immediately provides concrete, verifiable targets and metrics (net-zero by 2040; halve GHG by 2030; recycled materials by 2030; 2019 collection tonnage). Thus there is only minor use of generic sustainability wording rather than pervasive vagueness.","All percentages, dates, metrics and referenced initiatives in the text (net-zero 2040; halve emissions by 2030; recycled/sustainably sourced materials by 2030; 29,005 tonnes collected in 2019; 25,000 t/year collection target by 2020; Looper with Remondis; Unstereotype Alliance; UN Guiding Principles; Global Change Award) are explicitly present in the provided ground-truth facts. No fabricated certifications or unverifiable numeric claims were introduced.","The text emphasizes positive initiatives (collection, Looper, targets, governance) and omits broader contextual information about the company’s overall environmental footprint or progress-to-date toward some targets. This selective focus is a mild hidden trade-off rather than an overt concealment of a contradictory major impact.","The message frames several initiatives positively but does not use extreme, hyperbolic language or inflate a tiny pilot as transformational. It modestly promotes corporate targets and programs; this is promotional but not strongly exaggerated.","Claims included (collection initiative, Looper JV, Unstereotype Alliance guidance, Human Rights policy, Global Change Award) are substantive governance or programmatic items relevant to sustainability. The text does not tout basic legal compliance as a novel achievement."
Hm__overselling__kg_context__rep1,Company H,kg_context,overselling,4,1,0,2,1,0,True,"Choosing Company H means choosing fashion that is actively working to reduce its impact across the entire value chain. We have set a climate target to halve absolute greenhouse gas emissions by 2030 and reach a net‑zero value chain by 2040, and we are aiming to use only recycled or other sustainably sourced materials by 2030. One simple action plays a powerful role in this journey: dropping off clothes you no longer wear in our Garment Collecting boxes. This initiative made Company H the first fashion company to collect old textiles in stores globally for reuse and recycling, keeping valuable fibres in circulation and helping to lessen the need for virgin resources. Together with circular ventures such as our joint initiative Looper, which collects, sorts and sells used garments and textiles, every returned T‑shirt or pair of jeans becomes part of a more responsible fashion system. Backed by human rights policies aligned with UN Guiding Principles and advertising standards set with UN Women’s Unstereotype Alliance, Company H offers style with a clearer conscience.","The text uses a few broad, promotional phrases (e.g., ""reduce its impact across the entire value chain"") that are general and evocative. However, it also cites specific, verifiable targets and initiatives (GHG halving by 2030, net‑zero by 2040, 2030 materials goal, Garment Collecting, Looper), so vagueness is limited.","All specific metrics, dates and claims in the text match verified company facts in the ground truth (halve GHG by 2030; net‑zero by 2040; materials goal by 2030; Garment Collecting as first global in‑store collection; Looper JV collecting/sorting/selling textiles; human rights policy aligned with UN Guiding Principles; Unstereotype Alliance advertising guidelines). No fabricated percentages, dates or certifications were introduced.","The marketing emphasizes positive initiatives (collection program, Looper, climate targets, sourcing goal) without acknowledging broader trade‑offs of a large fast‑fashion business (scale of production, ongoing supply‑chain impacts). This selective presentation can distract from the company's overall environmental footprint.","The copy lightly inflates the impact of small consumer actions (e.g., ""every returned T‑shirt or pair of jeans becomes part of a more responsible fashion system""), framing drop‑off behavior as highly influential. The exaggeration is modest rather than extreme.","The claims are substantive and correspond to verified sustainability commitments and initiatives, not to trivial or legally mandated facts presented as voluntary achievements."
Hm__concealment__no_context__rep1,Company H,no_context,concealment,6,2,2,1,1,0,True,"This year, Company H has taken meaningful strides to make fashion more sustainable, from the fabrics we choose to the way our products are made and delivered. A growing share of our collections is crafted from recycled and more sustainably sourced materials, including organic cotton, innovative cellulosic fibers, and textiles made from post-consumer waste. Across our operations, we continue to improve energy efficiency and increase our use of renewable electricity, reducing our climate impact while keeping our stores and distribution centers running smoothly. Our commitment to ethical sourcing is reflected in stronger partnerships with suppliers, expanded traceability, and programs that support fair and safe working conditions for the people who make our clothes. We’re also investing in communities through skills training, empowerment initiatives for women in our supply chain, and circular projects that extend the life of garments. Together, these steps represent tangible progress and our dedication to moving fashion – and Company H – in a more responsible direction year after year.","The copy relies on broad, undefined sustainability language (e.g., 'meaningful strides', 'growing share', 'innovative cellulosic fibers', 'post-consumer waste') without providing specific metrics, timelines, or proportions. While the Ground Truth confirms ambitions (e.g., a 2030 aim to use only recycled/sustainably sourced materials and a net‑zero target for 2040), it does not provide the concrete 'this year' figures or material shares claimed in the text, so the message is vague and unquantified.","The text makes multiple unverified, outcome‑oriented claims (increased use of renewable electricity, 'reducing our climate impact', 'expanded traceability', programs that support fair and safe working conditions, community investments and women's empowerment initiatives) that are not substantiated by the provided Ground Truth as concrete, verifiable achievements for the stated period. No fabricated percentages or certifications appear, but the assertions are unverifiable in the available facts and therefore moderately misleading.","The marketing highlights several positive actions (materials, energy, traceability, circular projects) but omits broader, potentially harmful industry trade‑offs (e.g., the scale and impacts of fast‑fashion production, supplier footprint details). This selective framing downplays large systemic impacts, but the text does not focus on a single trivial attribute and thus represents a low level of concealment.","The language frames routine sustainability activities as notable 'strides' and 'tangible progress', which may inflate their perceived impact relative to the overall business model. However, these claims are modestly worded and align with known company targets (2030 materials goal, 2040 net‑zero target), so the exaggeration is limited.","The text does not primarily boast about legal compliance or trivial facts presented as achievements. It focuses on sustainability initiatives rather than restating basic regulatory requirements from the Ground Truth, so there is no evidence of irrelevant, legally mandated claims being used as green credentials."
Hm__irrelevance__no_context__rep1,Company H,no_context,irrelevance,7,2,1,1,1,2,True,"At Company H, responsibility begins with doing things the right way, every day. We are committed to operating as a compliant, ethically governed brand, meeting – and striving to exceed – the laws and regulations that protect people and the planet. Our products are subject to rigorous safety checks and quality controls, and we work continuously to ensure that materials, chemicals, and production methods comply with relevant safety and environmental standards. We follow applicable trade regulations and maintain clear, transparent labelling so customers can make informed choices about what they buy and wear. Across our value chain, from design to delivery, we expect our colleagues, suppliers, and partners to uphold our policies on human rights, fair working conditions, and responsible business conduct. Regular audits, training, and internal controls help us identify risks and address them proactively. By embedding compliance and ethics into how we work, we aim to earn and keep the trust of our customers, employees, and communities, today and for the long term.","The copy uses broad, undefined language (e.g., 'doing things the right way', 'rigorous safety checks', 'relevant safety and environmental standards', 'clear, transparent labelling') without naming standards, metrics, materials, timelines, or audit scope. It provides no concrete evidence or quantifiable claims (e.g., no reference to Company H's verified targets such as net‑zero by 2040 or the 2030 materials aim), so the claims are plausibly true but remain ambiguous.","No fabricated percentages, dates, or third‑party certifications appear (so the critical rule for fabricated metrics is not triggered). However several assertions (e.g., 'rigorous safety checks and quality controls' or 'transparent labelling') are presented as factual without verification in the provided ground truth. These are unsubstantiated general claims rather than outright falsehoods, so risk is low but present.","The text emphasizes compliance, audits, training and ethics across the value chain but omits known, material environmental issues and verified Company H commitments (e.g., net‑zero 2040, 2030 materials objective, large supplier footprint). It does not highlight a single minor green attribute to distract, but it selectively presents positive governance practices while leaving out broader environmental trade‑offs.","Tone is promotional and frames basic compliance and governance as trust‑building achievements, but it does not use dramatic nature‑evoking rhetoric or inflate a trivial initiative into systemic impact. The emphasis slightly overstates routine controls, so overselling is low.","The message repeatedly touts legal/regulatory compliance and basic governance (meeting/exceeding laws, following trade regulations, labelled transparency) — matters that are often baseline/legal requirements. Ground truth confirms some compliance facts (e.g., EU Market Abuse Regulation, Code of Ethics), so presenting these as notable sustainability achievements is of moderate irrelevance."
Hm__vagueness__no_context__rep1,Company H,no_context,vagueness,8,3,2,1,2,0,True,"At Company H, caring for style has always meant caring for the world we share. Our journey toward a more sustainable future is rooted in a simple belief: fashion should celebrate self-expression without costing the earth. We are thoughtfully reimagining what it means to create, wear, and love clothes, guided by respect for the planet and the people who call it home. Every collection, every partnership, every decision is informed by a commitment to do better today than we did yesterday. We embrace eco-conscious values as the heart of our brand, championing mindful choices and encouraging our community to join us in shaping a greener tomorrow. Together with our customers, we’re building a future where circularity, responsibility, and creativity go hand in hand. It’s an ongoing journey, and we know there is always more to learn and more to do—but we are here for the long term, inspired by the belief that positive change is not only possible, it’s essential.","The text relies heavily on broad, undefined sustainability language (e.g., 'sustainable future', 'eco-conscious values', 'circularity, responsibility') without any specific practices, materials, percentages, dates, or methodologies. Ground truth facts include concrete targets (net‑zero value chain by 2040; aim to use only recycled or sustainably sourced materials by 2030; specific initiatives like Garment Collecting and Looper), but none of these verifiable metrics or programs are referenced—the wording is therefore extremely vague and evocative rather than informative.","The copy makes sweeping, absolute claims — 'Every collection, every partnership, every decision is informed by a commitment to do better' — that are unverified and present an uncompromising picture of corporate practice. While it contains no fabricated percentages, dates, or certifications (so it does not trigger the strictest 'fabricated metric' rule), these universal claims are unverifiable against the provided facts and create a misleading impression of totalized corporate sustainability.","The text does not call out or highlight a narrow eco-attribute to distract from bigger impacts (no mention of packaging, a single recycled material, etc.). However, it intentionally omits any discussion of trade-offs or the broader environmental footprint of large-scale apparel production (e.g., supply chain impacts), so there is a low-level concealment by omission rather than an explicit hidden trade-off.","The language is emotionally charged and elevates the brand's role in sustainability ('caring for the world', 'heart of our brand', 'building a future where circularity...go hand in hand'), which inflates perceived impact relative to the concrete, limited initiatives actually documented in the ground truth. This is characteristic of moderate overselling/textual executional greenwashing rather than a strictly factual account.",The message is aspirational and promotional rather than citing compliance with basic legal requirements or trivial facts presented as achievements; it does not boast about legally mandated practices and therefore does not fall into irrelevance.
Company M En__overselling__context_only__rep1,Company M,context_only,overselling,6,1,2,1,2,0,True,"Choosing Company M means choosing denim with a measurably more responsible impact than conventional fashion. As the first Turkish apparel brand to transparently disclose its carbon footprint, a UN Global Compact and Better Cotton member, and the only Turkish apparel company on CDP’s Global “A” List with a double A score for Climate Change and Water Security, Company M is recognized as a leader where most brands are still catching up. What began as a single eco‑friendly capsule — our All Blue collection launched in 2018 — has evolved into a full sustainability platform: from Hemp Denim made with hemp fibers, recycled cotton and bio‑based nutshell buttons using minimum water, to jeans crafted from recycled plastic bottles, regenerative cotton in our Regenerative Jeans Collection, and upcycled styles in the MT1012 R3‑IMAGINED for Company M project. With initiatives like our “Circularity in Fashion” collaboration with Nivogo and repeated “Most Sustainable Collection” awards from The Rivet Awards, every Company M piece turns what could have been a small, one‑off idea into lasting change across our 4,000 points of sale worldwide.","Mostly specific (certifications, collection names, materials), but uses broad, evocative phrasing such as ""measurably more responsible impact"" and ""eco‑friendly capsule"" without providing the actual metrics or methodology behind the comparative claim.","Contains at least one specific datum not in the Ground Truth: the claim that the All Blue collection ""launched in 2018"" is not verified in the provided facts. In addition, the comparative claim that Company M has a ""measurably more responsible impact than conventional fashion"" is unsubstantiated by explicit metrics in the text. Other certifications and initiatives cited (UNGC, Better Cotton, CDP A list, recycled-bottle jeans, hemp denim, regenerative cotton, MT1012 upcycling, Circularity with Nivogo, Rivet Awards, ~4,000 points of sale) are supported by the Ground Truth.","The text emphasizes many verified sustainable initiatives and awards but does not address broader trade-offs (e.g., production volumes, lifecycle impacts). This is a slight selective presentation rather than a clear hidden trade-off.","The copy inflates the impact of Company M's initiatives (e.g., framing an ""eco‑friendly capsule"" as the origin of a full sustainability platform and claiming ""every Company M piece"" drives lasting change across 4,000 points). This elevates limited initiatives into company‑level transformation without proportional evidence.","Claims are focused on verifiable sustainability initiatives, certifications and product features from the Ground Truth rather than restating basic legal requirements or irrelevant facts."
Company M En__vagueness__context_only__rep1,Company M,context_only,vagueness,2,1,0,0,1,0,True,"Born in Istanbul in 1991 and now present in 34 countries, Company M has grown with a simple belief at its heart: denim should feel good not only on you, but also for the planet we all share. Our Global All Blue strategy and award‑winning sustainable collections are the expression of this promise, from eco‑friendly All Blue pieces and Hemp Denim to regenerative cotton jeans that honor the soil they come from. As the first Turkish apparel brand to transparently disclose its carbon footprint, to make CDP’s Global “A List” with a double A score, and to have science‑based emission reduction targets approved, we see accountability as part of style. Being ranked 8th in TIME and Statista’s “World’s Best Companies – Sustainable Growth 2025” only deepens our responsibility to do better every day. Whether it’s opening our first eco‑store, joining the UN Global Compact and Women’s Empowerment Principles, or embracing circularity in fashion, Company M is committed to a future where looking good and doing good are beautifully inseparable.","The text uses some broad, emotive sustainability language (e.g., ""eco‑friendly"", ""honor the soil"", ""embracing circularity"") but anchors those claims to named initiatives and products that appear in the ground truth (All Blue/Sustainable All Blue, Hemp Denim, regenerative jeans, Circularity in Fashion), so the vagueness is present but low.","All specific metrics, dates and certifications mentioned in the text are verifiable in the ground truth: founding year (1991), presence in 34 countries, All Blue/Hemp/regenerative collections, first Turkish brand to disclose carbon footprint, CDP Global 'A' List with double A scores, SBTi-approved targets, TIME/Statista 8th rank (2025), eco‑store opening and UNGC/WEPs signatory. No fabricated percentages, dates or certifications were introduced.",The messaging highlights multiple sustainability initiatives and certifications rather than focusing on a single eco‑attribute to distract from broader harms; there is no clear evidence of a hidden trade‑off in the text.,"The copy uses aspirational marketing language that elevates the brand's sustainability positioning (e.g., framing accountability as part of style), but it links these statements to substantial, verifiable programs and certifications, so the exaggeration is limited.",The text does not boast about basic legal requirements or irrelevant compliance items; its claims refer to voluntary initiatives and third‑party reporting/certifications documented in the ground truth.
Company M En__misleading__kg_context__rep1,Company M,kg_context,misleading,3,1,0,1,1,0,True,"At Company M, sustainability is woven into every collection we create. Our All Blue platform brings together the Sustainable All Blue collection and its Archive, Natural Dye and Recycle Blue lines, along with innovative drops like the Regenerative Jeans Collection made with regenerative cotton, MT1012 R3‑IMAGINED upcycled styles, Hemp Denim using hemp fibers, recycled cotton and bio‑based nutshell buttons, and Company M Pro Sport Repreve® jeans made from recycled plastic bottles. Through our “Circularity in Fashion” project with Nivogo and our first eco‑store in Zorlu Shopping Mall, we are rethinking the full lifecycle of denim. Our progress is independently verified: we became the first Turkish apparel brand to transparently disclose its carbon footprint with CDP (B score), the first and only from Turkey to earn CDP’s Global “A” List with a double A for Climate Change and Water Security, and the first and only Turkish company to report to the CDP Forests Program. With SBTi‑approved climate targets, Better Cotton membership, inclusion in the BIST Sustainability 25 Index, ranking 8th in TIME and Statista’s “World’s Best Companies – Sustainable Growth 2025,” and five “Most Sustainable Collection” Rivet Awards, customers can trust that Company M denim is backed by rigorous, third‑party sustainability standards.","The copy uses broad marketing language (e.g., ""sustainability is woven into every collection""; ""rethinking the full lifecycle of denim"") that is vague and emotive. However, most product and program claims are specific and match verified facts (All Blue lines, Regenerative Jeans, MT1012 R3‑IMAGINED, Hemp Denim, Pro Sport Repreve®, Circularity in Fashion, eco‑store).","The text cites only certifications and metrics that appear in the ground truth (CDP B score; CDP Global A List double A for Climate Change and Water Security; CDP Forests reporting; SBTi approval; Better Cotton membership; BIST Sustainability 25 Index; TIME/Statista ranking; Rivet Awards). There are no fabricated percentages, dates or unverified certifications.","The text emphasizes multiple verified sustainable product lines and third‑party verifications, but presents a uniformly positive framing (e.g., sustainability ‘‘woven into every collection’’) without acknowledging broader trade‑offs or remaining impacts of large‑scale apparel production. This is a mild instance of selective presentation rather than an explicit hidden trade‑off.","Some language inflates the scope of initiatives (e.g., blanket statements that imply all collections are sustainable; suggesting full lifecycle transformation). But most claims are supported by documented initiatives and certifications, so the exaggeration is limited.","The claims focus on substantive, verifiable sustainability programs, certifications and product lines rather than boilerplate legal compliance or irrelevant facts; no evidence of praising basic legal requirements as voluntary achievements."
Company M En__concealment__no_context__rep1,Company M,no_context,concealment,8,2,2,2,2,0,True,"This year, Company M accelerated its All Blue journey with concrete achievements that make a real difference. More than ever before, our collections feature next-generation fabrics, including a significantly higher share of organic and Better Cotton, recycled fibers, and low-impact materials like TENCEL™ and modal—delivering the same premium feel with a lighter footprint. In our denim production, we expanded the use of laser and ozone technologies, saving substantial amounts of water and energy while cutting down on chemicals. Across our owned operations, we increased our reliance on renewable energy and boosted overall energy efficiency, further reducing our climate impact. On the social side, we deepened our commitment to ethical sourcing through stricter supplier standards, enhanced transparency, and ongoing third‑party audits, supporting safe, fair working conditions throughout our supply chain. At the community level, we invested in education and empowerment programs, particularly for women and young people, and mobilized our teams and partners for volunteer initiatives. Together, these steps show Company M moving confidently and consistently toward a more sustainable future.","The text relies on broad, non‑quantified sustainability language (e.g., “significantly higher share of organic and Better Cotton, recycled fibers,” “saving substantial amounts of water and energy,” “boosted overall energy efficiency”) without providing specific percentages, unit savings, timelines, or methodologies. While some elements (Better Cotton membership; collaboration with Tencel; recycled‑bottle jeans/Repreve) are present in the Ground Truth, the marketing copy gives no verifiable figures or scope to support the asserted improvements, which matches a moderate level of vagueness.","The copy makes verifiable‑adjacent claims that are not backed by the provided Ground Truth (e.g., expanded use of laser and ozone technologies with resulting savings, increased reliance on renewable energy across owned operations, ongoing third‑party audits). There are no fabricated percentages, dates, or invented certifications (so the critical 'any metric/certification not in GT' rule is not triggered), but the assertions are specific enough to be potentially misleading because they cannot be corroborated by the supplied facts—warranting a moderate misleading score.","The text highlights positive advances across materials, production technology and social programs while omitting any discussion of the company's overall environmental footprint, production volumes, lifecycle impacts, or potential trade‑offs (e.g., scale of fast fashion, chemical dye impacts). This selective framing emphasizes greener attributes without contextualizing their relative significance, indicating a moderate hidden trade‑off risk.","The language elevates routine or incremental actions into broad claims of meaningful progress (“accelerated its All Blue journey,” “making a real difference,” “delivering the same premium feel with a lighter footprint”). Although Company M has documented sustainability work (CDP reporting, SBTi targets, Better Cotton, Tencel collaboration, Repreve), the text amplifies the importance of unspecified initiatives in a way that inflates perceived impact—typical moderate overselling.","The claims focus on materials, production methods, energy and social programs that are relevant to sustainability performance rather than restating obvious legal compliance. The copy does not boast about legally mandated practices or otherwise irrelevant basics, so there is no evidence of 'irrelevance' greenwashing in the provided text."
Company M En__irrelevance__no_context__rep1,Company M,no_context,irrelevance,8,3,2,0,1,2,True,"At Company M, responsibility starts with doing what’s right, not just what’s required. We operate under a robust framework of ethical governance, strict compliance, and transparent accountability to ensure our products are safe, our workplaces are fair, and our impact is responsible. Every garment is subject to rigorous product safety testing and quality controls that meet or exceed international standards, while our supply chain is managed in line with applicable trade regulations, labor laws, and environmental requirements. From clear, honest labeling that discloses materials and care guidance to transparent communication on where and how our products are made, we are committed to giving customers the information they need to make confident choices. Our internal policies and codes of conduct guide how we treat our people, engage with partners, and do business in every market. By aligning our practices with industry best practices and legal standards, Company M strives to protect customers, support employees, respect communities, and uphold the trust placed in our brand.","The text relies on broad, undefined corporate-sustainability language (e.g., 'robust framework', 'rigorous product safety testing', 'industry best practices', 'transparent accountability') without providing any specific metrics, dates, standards, named certifications, or concrete examples to substantiate those claims, matching the rubric's indicators for extreme vagueness.","The copy makes absolute, unverified assertions presented as fact (e.g., 'Every garment is subject to rigorous product safety testing' and 'meet or exceed international standards') that are not explicitly supported by the provided ground truth. While no fabricated percentages/certifications appear, these blanket claims are unverifiable in the supplied data and therefore moderately misleading.","The text does not spotlight a single narrow 'green' attribute to distract from larger impacts; it speaks broadly about governance, safety and compliance without emphasizing one minor sustainability feature while hiding others, so hidden trade-offs are not evident.","The language is promotional and elevates routine compliance and internal policies (e.g., 'strict compliance', 'transparent accountability') in a way that amplifies their importance, but it does not explicitly inflate a tiny initiative into a major environmental achievement — this is a low-level oversell.","The statement frames compliance with laws, regulations and basic labeling as a distinctive commitment (e.g., 'managed in line with applicable trade regulations, labor laws, and environmental requirements'), which risks presenting mandated/legal obligations as voluntary sustainability accomplishments — a moderately irrelevant claim per the rubric."
